area,floorRange,propertyType,district,typeOfArea,tenure,street,project,marketSegment,property_key
40.0,21-25,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-081ed44ef
72.0,11-15,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-f1c29c6d8
84.0,11-15,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-0ba6a9779
70.0,11-15,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-d5bc62c3a
52.0,16-20,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-fb3957d16
42.0,06-10,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-d4a2ad53c
85.0,06-10,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-5105192af
42.0,26-30,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-cb68bfcfa
84.0,06-10,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-ea6000302
136.0,26-30,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-707816fc4
63.0,11-15,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-13d7e4d02
65.0,21-25,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-80abfaf4f
52.0,11-15,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-e58592fef
84.0,16-20,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-98a2eb94e
66.0,16-20,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-9c0fdc0cb
65.0,16-20,Apartment,7,Strata,99 yrs lease commencing from 2014,BEACH ROAD,CITY GATE,RCR,p-17747ef42
194.9,-,Terrace,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-77beafdcf
195.3,-,Terrace,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-abfd4fccd
155.0,01-05,Apartment,5,Strata,Freehold,FABER AVENUE,FABER HILLS,OCR,p-03879fc2a
203.8,-,Terrace,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-12bba093d
196.7,-,Terrace,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-24eb21f38
657.3,-,Semi-detached,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-9ef45488a
413.2,-,Semi-detached,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-0b0b2f0d6
376.7,-,Semi-detached,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-68b1307d5
199.8,-,Terrace,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-79eb682eb
431.3,-,Semi-detached,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-32d962b85
441.9,-,Semi-detached,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-0af39e38d
282.8,-,Terrace,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-9aa31f9e8
543.5,-,Semi-detached,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-bb026a432
361.3,-,Semi-detached,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-0f0e27de2
753.5,-,Detached,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-d65675387
840.4,-,Detached,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-a59960289
305.3,-,Terrace,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-a69619be1
337.2,-,Terrace,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-191902b3f
202.3,-,Terrace,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-491283ddb
681.3,-,Semi-detached,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-58f3ccb02
567.2,-,Semi-detached,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-24ce1aab1
204.2,-,Terrace,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-21d937adb
368.9,-,Semi-detached,5,Land,Freehold,FABER AVENUE,FABER HILLS,OCR,p-ec8193ed8
188.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-8278901ed
244.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-3992789d4
269.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-6be0e0362
188.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-0e1dc7497
191.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-e15118efc
232.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-e420452db
444.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-e01abe710
288.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-d525b8d2b
219.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-c5551ae29
217.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-2921e5af1
178.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-820ddd399
243.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-0fb1de268
323.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-c709a864d
312.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-e6d077a83
376.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-fd064d5f3
329.0,06-10,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-5f2f34ed0
269.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-0899d68b6
193.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-e53bdda0c
272.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-812d45cf7
232.0,01-05,Condominium,4,Strata,99 yrs lease commencing from 2006,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,p-29409095c
107.0,01-05,Condominium,5,Strata,Freehold,PASIR PANJANG ROAD,THE FOLIAGE,RCR,p-d967c8166
103.0,01-05,Condominium,5,Strata,Freehold,PASIR PANJANG ROAD,THE FOLIAGE,RCR,p-e5db7dcd7
89.0,01-05,Condominium,5,Strata,Freehold,PASIR PANJANG ROAD,THE FOLIAGE,RCR,p-9ed572965
47.0,01-05,Condominium,5,Strata,Freehold,PASIR PANJANG ROAD,THE FOLIAGE,RCR,p-8183b8ebe
105.0,01-05,Condominium,5,Strata,Freehold,PASIR PANJANG ROAD,THE FOLIAGE,RCR,p-452785312
94.0,01-05,Condominium,5,Strata,Freehold,PASIR PANJANG ROAD,THE FOLIAGE,RCR,p-2e759bf9c
106.0,01-05,Condominium,5,Strata,Freehold,PASIR PANJANG ROAD,THE FOLIAGE,RCR,p-7d4769106
87.0,01-05,Condominium,5,Strata,Freehold,PASIR PANJANG ROAD,THE FOLIAGE,RCR,p-d88a4365c
151.0,61-65,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-c22a2036f
249.0,11-15,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-dd88d73f8
151.0,36-40,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-2256cde46
249.0,26-30,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-89dfa96b4
192.0,31-35,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-90748dbbf
190.0,11-15,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-7deef7b14
249.0,31-35,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-a98273c13
151.0,41-45,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-a2d88ed61
150.0,16-20,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-992ee1f25
148.0,21-25,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-3b1177e5d
150.0,11-15,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-5fd8a4704
250.0,56-60,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-437ac9fd7
150.0,21-25,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-5021c5b1e
151.0,31-35,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-9b2afaf8a
149.0,21-25,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-6b7588e2b
190.0,16-20,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-041f83a68
191.0,16-20,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-2671c4cea
190.0,31-35,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-99d07c071
148.0,46-50,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-a06c61b87
191.0,21-25,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-cea7d496f
146.0,16-20,Condominium,1,Strata,99 yrs lease commencing from 2007,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,p-96b5f9a7d
54.0,21-25,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-1b78721c9
69.0,16-20,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-50faab33f
62.0,06-10,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-577f1002d
52.0,11-15,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-1589620a6
54.0,11-15,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-345f58230
54.0,16-20,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-12f0ac0e7
43.0,06-10,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-820daa8b6
69.0,21-25,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-a5f5781b9
54.0,06-10,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-413b63fb5
41.0,26-30,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-9479e3e60
41.0,21-25,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-fbd18cc79
117.0,36-40,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-550ab772e
42.0,06-10,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-27b343b41
62.0,11-15,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-683eadd40
42.0,21-25,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-e8d518516
50.0,11-15,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-46d39618f
101.0,01-05,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-16ae926b0
42.0,11-15,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-f479fa5ec
96.0,31-35,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-0b6823776
78.0,31-35,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-8f8527326
41.0,16-20,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-8d16ecfb1
94.0,26-30,Apartment,2,Strata,Freehold,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,p-01f5fdcd8
801.9,-,Detached,4,Land,99 yrs lease commencing from 2006,CORAL ISLAND,SENTOSA COVE,CCR,p-eb5aad8b9
778.9,-,Detached,4,Land,99 yrs lease commencing from 2006,CORAL ISLAND,SENTOSA COVE,CCR,p-5c8541c88
697.8,-,Detached,4,Land,99 yrs lease commencing from 2005,CORAL ISLAND,SENTOSA COVE,CCR,p-ecb3a8db1
786.9,-,Detached,4,Land,99 yrs lease commencing from 2006,CORAL ISLAND,SENTOSA COVE,CCR,p-0ee9a6314
726.3,-,Detached,4,Land,99 yrs lease commencing from 2005,CORAL ISLAND,SENTOSA COVE,CCR,p-61b3bbcd2
730.0,-,Detached,4,Land,99 yrs lease commencing from 2007,CORAL ISLAND,SENTOSA COVE,CCR,p-06474c598
731.0,-,Detached,4,Land,99 yrs lease commencing from 2007,CORAL ISLAND,SENTOSA COVE,CCR,p-bb7ceb8c9
737.1,-,Detached,4,Land,99 yrs lease commencing from 2007,CORAL ISLAND,SENTOSA COVE,CCR,p-4ce04a1e9
83.0,01-05,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-8da3f43d0
77.0,01-05,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-d96c94854
68.0,06-10,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-7ea688cef
67.0,01-05,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-3c930e480
82.0,06-10,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-f9c882f41
76.0,01-05,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-9267eeea7
103.0,01-05,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-dda11d5b1
109.0,01-05,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-75617a32e
118.0,01-05,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-a5e0f3e4e
80.0,06-10,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-d837b3fb5
116.0,01-05,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-fa0a74eb9
71.0,01-05,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-bc8be47da
72.0,06-10,Apartment,4,Strata,Freehold,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,p-3dee00683
163.0,41-45,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-c06911712
141.0,41-45,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-980dca9ac
113.0,51-55,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-b1d7141ae
89.0,51-55,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-06e7c67b3
126.0,46-50,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-e18de1693
141.0,46-50,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-5c5718662
141.0,51-55,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-b639c1f91
126.0,51-55,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-6da8f3f82
141.0,36-40,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-a56061f5d
112.0,46-50,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-0289029f1
113.0,46-50,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-9b5a3ddc1
98.0,31-35,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-ed9502d99
126.0,41-45,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-71934abed
98.0,21-25,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-d79e63f09
47.0,36-40,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-add078b6f
164.0,46-50,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-5f04e49b6
64.0,31-35,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-6a7dc1a42
163.0,46-50,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-d4c8fcbc0
112.0,41-45,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-9789de3c8
98.0,16-20,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-f8fcd69ce
164.0,51-55,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-f97d3a9f5
98.0,06-10,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-3253371a5
98.0,26-30,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-f2e17a9ae
44.0,11-15,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-8f3f19ca1
102.0,16-20,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-b792d2a97
88.0,21-25,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-14c6ba1df
44.0,26-30,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-2d5f4bafd
164.0,36-40,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-cd8ac7196
113.0,36-40,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-30bd993aa
102.0,26-30,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-056b5bd2e
88.0,06-10,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-f6bdae8e4
41.0,26-30,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-ead1a4243
45.0,21-25,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-7de10391d
41.0,16-20,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-9fc0b10d9
164.0,41-45,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-a39453ee8
163.0,51-55,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-94c555bc8
112.0,51-55,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-336f7a773
98.0,11-15,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-e1587f4f0
142.0,36-40,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-ab3aabf94
42.0,26-30,Apartment,1,Strata,99 yrs lease commencing from 2011,SHENTON WAY,V ON SHENTON,CCR,p-78b6fb621
203.0,-,Terrace,5,Land,Freehold,JALAN MAT JAMBOL,SPRINGWOOD,RCR,p-9165b47fc
263.6,-,Terrace,5,Land,Freehold,JALAN MAT JAMBOL,SPRINGWOOD,RCR,p-9670953bb
227.1,-,Terrace,5,Land,Freehold,JALAN MAT JAMBOL,SPRINGWOOD,RCR,p-af335ec19
171.6,-,Terrace,5,Land,Freehold,JALAN MAT JAMBOL,SPRINGWOOD,RCR,p-f63dddfd6
171.2,-,Terrace,5,Land,Freehold,JALAN MAT JAMBOL,SPRINGWOOD,RCR,p-f2722655e
270.0,-,Terrace,5,Land,Freehold,JALAN MAT JAMBOL,SPRINGWOOD,RCR,p-04ec28ce5
