street,project,district,lat,lng,num_schools_1km,num_supermarkets_500m,num_mrt_stations_500m
KOVAN ROAD,VIBES @ KOVAN,19,1.35482511473466,103.877603175814,4,1,2
MARSHALL ROAD,91 MARSHALL,15,1.30653182398713,103.900986985644,6,4,2
CEYLON ROAD,THE VANDERLINT,15,1.30803647339767,103.900775732944,6,2,1
LORONG 19 GEYLANG,TREASURES@G19,14,1.3139281583716,103.87898672052,2,3,3
ANG MO KIO STREET 66,FLORAVIEW,20,1.39149226761388,103.850454975085,0,0,0
OUTRAM ROAD,RESIDENTIAL APARTMENTS,3,1.28313584383327,103.836042345229,1,0,6
ALJUNIED ROAD,AVANT RESIDENCES,14,1.31353535987581,103.882362870576,3,5,3
ALEXANDRA ROAD,ALEXIS,3,1.29130379243474,103.807350978054,1,1,1
TELOK KURAU ROAD,THE COTZ,15,1.31335497672775,103.910858221599,7,0,2
HAIG AVENUE,EIS RESIDENCES,15,1.30765307060931,103.89948999313,7,1,2
LORONG 102 CHANGI,JUPITER 18,15,1.31562617162614,103.900455995607,4,6,3
WILKIE ROAD,WILKIE 80,9,1.3031358658722,103.847735636923,5,5,10
ROBEY CRESCENT,D'ZIRE,19,1.36832364019818,103.882166255455,4,1,1
UPPER SERANGOON ROAD,VIBES@UPPER SERANGOON,19,1.34481825847721,103.87123873961,6,0,3
TONG WATT ROAD,VIVACE,9,1.29294488391215,103.840702054687,3,1,8
BRADDELL ROAD,SUITES@BRADDELL,13,1.34354796106911,103.868658434784,5,0,3
LORONG SALLEH,SUNNY LODGE,14,1.32449471240105,103.906946325595,6,2,2
LORONG 32 GEYLANG,NESS,14,1.31269794714045,103.886776844129,6,4,5
FERNVALE ROAD,HIGH PARK RESIDENCES,28,1.39638961318515,103.875132778517,1,0,0
RACE COURSE ROAD,SOHO 188,8,1.31119207325572,103.85327574283,4,5,5
EASTWOOD ROAD,EASTWOOD REGENCY,16,1.32112663542292,103.957520577028,0,1,1
LORONG 26 GEYLANG,CASA AERATA,14,1.31232393794378,103.885033090499,5,5,4
SPOTTISWOODE PARK ROAD,SPOTTISWOODE 18,2,1.27559528527257,103.837559859708,1,0,6
MAR THOMA ROAD,RIVERBAY,12,1.32798732117053,103.862540519298,5,3,2
GEYLANG ROAD,PAVILION SQUARE,14,1.31297800060859,103.879770800217,3,3,3
TELOK KURAU ROAD,PARC ELEGANCE,15,1.31785132345028,103.908905458358,4,0,2
TOH TUCK ROAD,NOTTINGHILL SUITES,21,1.33885390897837,103.769182996429,3,1,1
LORONG 7 GEYLANG,CENTRA RESIDENCE,14,1.312846209179,103.875936321332,1,3,2
JALAN JURONG KECHIL,THE HILLFORD,21,1.34443545663216,103.769846922912,3,0,1
WOODLEIGH CLOSE,8@WOODLEIGH,13,1.33591796463135,103.869688700669,6,5,2
SING JOO WALK,JOOL SUITES,8,1.31520905789978,103.854919307157,3,6,3
SIN MING ROAD,THOMSON V TWO,20,1.35341660995058,103.835547156524,2,1,2
LORONG L TELOK KURAU,LAVERNE'S LOFT,15,1.3112691323173,103.910277854719,7,1,1
JALAN LOYANG BESAR,OCEAN FRONT SUITES,17,1.37745408150082,103.95662588933,3,2,1
GUILLEMARD CRESCENT,COSMO,14,1.30957643997194,103.881039620932,3,3,4
TEMBELING ROAD,STUDIOS@TEMBELING,15,1.30816131286707,103.904983491936,7,5,1
LORONG 22 GEYLANG,PRIME RESIDENCE,14,1.31118981428433,103.882466535926,3,5,3
CACTUS ROAD,FLORAVILLE,28,1.39185235684708,103.851179877786,0,0,0
QUEEN'S ROAD,THE ASANA,10,1.32188613848343,103.811066200681,7,4,4
LORONG 6 GEYLANG,ROYCE RESIDENCES,14,1.31128760423171,103.876285896427,0,3,4
TONG WATT ROAD,ROBERTSON EDGE,9,1.29309229152325,103.840538564538,3,1,8
LORONG 39 GEYLANG,D'WEAVE,14,1.31554107907724,103.890458266408,5,4,4
MANDALAY ROAD,THE AXIS,11,1.32462194319897,103.849957588255,6,2,2
LORONG 32 GEYLANG,SILVERSCAPE,14,1.31256998658763,103.887209225771,7,3,5
CHANGI ROAD,SUITES@CHANGI,14,1.317041377544,103.904748281539,3,2,1
LORONG 30 GEYLANG,GUILLEMARD EDGE,14,1.31200443744473,103.885949377155,7,5,4
GUILLEMARD ROAD,GUILLEMARD SUITES,14,1.31094521852726,103.882721097721,3,5,3
SIMS AVENUE,CENTRA HEIGHTS,14,1.31629397762889,103.88657418395,5,5,4
LIM TUA TOW ROAD,CASA CAMBIO,19,1.35368823040023,103.876444615904,3,1,2
DUNEARN ROAD,DUNEARN SUITES,11,1.32473351341035,103.810724749056,7,4,4
LORONG 26 GEYLANG,LA FLEUR,14,1.31244454232324,103.884576516653,5,4,3
UPPER CHANGI ROAD,EAST VILLAGE,16,1.3317758150305,103.946201241591,4,2,1
SERANGOON ROAD,REGENT RESIDENCES,12,1.32423340916268,103.864556003087,5,1,3
LORONG 26 GEYLANG,28 IMPERIAL RESIDENCES,14,1.311780119269,103.884605770106,5,5,3
LORONG 26 GEYLANG,REZI 26,14,1.31277485329606,103.885104634024,5,5,4
CARDIFF GROVE,CARDIFF RESIDENCE,19,1.35517236505782,103.866447107141,7,1,3
YIO CHU KANG ROAD,SPACE @ KOVAN,19,1.35466521890966,103.876883622562,2,1,2
RACE COURSE LANE,28 RC SUITES,8,1.3099817921347,103.852952005462,3,4,5
INSTITUTION HILL,ASPEN LINQ,9,1.2953415799343,103.839844385683,5,2,6
FIRST STREET,SIGLAP V,15,1.31275329709404,103.923657863473,7,2,1
ROBIN DRIVE,ROBIN RESIDENCES,10,1.31846920213332,103.828143736822,8,1,2
RICHARDS AVENUE,21 RICHARDS,19,1.36188087378278,103.881398348867,1,1,1
LORONG 28 GEYLANG,LA BRISA,14,1.31190419143627,103.885369365155,6,6,4
GLASGOW ROAD,GLASGOW RESIDENCE,19,1.36189921422964,103.87861280778,1,0,1
GEYLANG EAST AVENUE 2,SIMS EDGE,14,1.31640485669867,103.887906763671,5,4,4
PARK ROAD,PEOPLE'S PARK COMPLEX,1,1.28404487854559,103.842590753293,1,4,11
SIMS DRIVE,SIMS URBAN OASIS,14,1.31918958720539,103.881380824314,3,2,2
JURONG LAKE LINK,LAKE GRANDE,22,1.34547449129535,103.724623449937,2,2,2
LORONG 6 GEYLANG,TREASURES@G6,14,1.31061812912929,103.876727965474,0,3,4
RANGOON ROAD,RANGOON 88,8,1.31438189347147,103.854233088273,3,6,4
RANGOON ROAD,LOFT @ RANGOON,8,1.31495935076574,103.85355608987,7,6,1
LORONG 14 GEYLANG,CENTRAL IMPERIAL,14,1.31194266781347,103.879213970964,2,3,3
LORONG 25A GEYLANG,CENTRA SUITES,14,1.31465166781856,103.883288149427,5,3,3
TEMBELING ROAD,TEMBELING RESIDENCE,15,1.307339577796,103.904802283858,7,6,1
LORONG 20 GEYLANG,TREASURES @ G20,14,1.31144699404485,103.881539708397,3,4,3
UPPER PAYA LEBAR ROAD,THE VUE,19,1.34679807171435,103.8799727346,8,0,3
ST. THOMAS WALK,8 SAINT THOMAS,9,1.29614347977247,103.836292454037,5,2,6
RIVER VALLEY ROAD,RV RESIDENCES,10,1.29434105033385,103.828440282424,2,4,3
JALAN SENDUDOK,THE NAUTICAL,27,1.44363473207597,103.825253279684,2,1,2
RANGOON ROAD,URBAN LOFTS,8,1.31416383479813,103.853905530109,3,7,3
MACKENZIE ROAD,MACKENZIE 88,9,1.30647244500245,103.847682828845,4,2,9
FORD AVENUE,THE FORD @ HOLLAND,10,1.31351506153359,103.793689742252,0,4,4
UPPER SERANGOON ROAD,PRESTO@UPPER SERANGOON,19,1.34571688225607,103.871555363353,6,0,3
LORONG 24 GEYLANG,EDENZ LOFT,14,1.3123178474915,103.883532317959,3,4,3
LORONG 30 GEYLANG,IDYLLIC SUITES,14,1.31285080910896,103.886497625764,5,4,5
ROBEY CRESCENT,ONEROBEY,19,1.36691571671785,103.881894746832,2,0,1
JALAN MASJID,KEMBANGAN SUITES,14,1.32015257058639,103.912727083961,1,2,1
GEYLANG EAST AVENUE 1,TRE RESIDENCES,14,1.31721501497667,103.884668916461,6,4,3
AMBER ROAD,16 @ AMBER,15,1.29965226936589,103.898829231978,2,0,2
LORONG 24 GEYLANG,THE OCTET,14,1.31206999136037,103.883562422294,3,4,3
MEYAPPA CHETTIAR ROAD,THE POIZ RESIDENCES,13,1.33202729656296,103.868659488195,6,4,2
SIN MING ROAD,THOMSON V ONE,20,1.35319495337208,103.835564729862,2,1,2
JALAN KEMAMAN,NEEM TREE,12,1.32736646893517,103.851568376064,1,0,1
TANJONG RHU ROAD,THE LINE @ TANJONG RHU,15,1.29843730060613,103.884408021083,3,0,2
PETAIN ROAD,RESIDENCES @ SOMME,8,1.31151034798645,103.858717994436,4,11,5
JALAN PUNAI,QUBE SUITES,14,1.32987209553022,103.908123975446,6,0,2
FRASER STREET,DUO RESIDENCES,7,1.29916295967817,103.857859536947,3,3,11
LEICESTER ROAD,LEICESTER SUITES,13,1.33040458254512,103.867093216382,6,3,1
BEDOK SOUTH AVENUE 3,GRANDEUR PARK RESIDENCES,16,1.32582135495427,103.944919226615,3,1,1
LORONG 35 GEYLANG,CENTRA LOFT,14,1.31481743950624,103.888376977987,5,2,4
BEATTY ROAD,STURDEE RESIDENCES,8,1.31291695250751,103.859047068258,4,7,5
CHANGI ROAD,MILLAGE,14,1.33748407521777,103.959661548482,3,3,4
BALESTIER ROAD,OKIO,12,1.32213342822747,103.853199661872,6,1,1
SIGLAP LINK,SEASIDE RESIDENCES,15,1.30781850435166,103.928209048481,2,0,1
LORONG MELAYU,PALMERA EAST,14,1.32088202092246,103.910092007142,2,2,2
ROSEWOOD DRIVE,PARC ROSEWOOD,25,1.42868583712326,103.785732891763,10,1,3
LORONG 30 GEYLANG,SUITES 28,14,1.31268459175571,103.885941111431,5,5,5
WISHART ROAD,THE FORESTA @ MOUNT FABER,4,1.27035025509729,103.813967319772,2,0,1
LORONG 30 GEYLANG,VIENTO,14,1.31221104514144,103.886520466932,7,3,5
TANAH MERAH KECHIL LINK,URBAN VISTA,16,1.3276667701016,103.944745938969,5,1,1
MACKENZIE ROAD,MACKENZIE 138,9,1.30693743456241,103.847015585508,4,1,9
GLASGOW ROAD,ISUITES @ PALM,19,1.36122364069375,103.878553186555,3,0,1
FOO KIM LIN ROAD,TROPIKA EAST,14,1.32899718944322,103.906865168799,6,0,2
LORONG MARICAN,RESIDENCES 88,14,1.32627973484674,103.907811483759,6,2,3
DUNMAN ROAD,QUESTA @ DUNMAN,15,1.30984270610085,103.896599466454,9,1,2
SENGKANG SQUARE,LA FIESTA,19,1.38961545416986,103.895880315991,8,3,2
ANG MO KIO AVENUE 2,THE PANORAMA,20,1.37549641233976,103.833903324716,3,0,1
EAST COAST ROAD,448@EAST COAST,15,1.30882433610902,103.913449991483,6,1,1
LORONG G TELOK KURAU,ESPIRA SUITES,15,1.31738968922717,103.91258763823,1,0,1
ELIAS ROAD,STRATUM,18,1.37963530778824,103.943403375787,3,2,1
SHELFORD ROAD,10 SHELFORD,11,1.32580825364563,103.812516919467,7,4,3
JALAN LOKAM,KENSINGTON SQUARE,19,1.34560719747232,103.882695128109,8,0,1
LORONG 28 GEYLANG,MELOSA,14,1.31253733235708,103.885402784916,5,5,4
BALESTIER ROAD,URBAN HERITAGE,12,1.32184413934142,103.853334117435,6,2,1
OWEN ROAD,FARRER PARK SUITES,8,1.31329768304541,103.853633404104,2,7,4
BASSEIN ROAD,8 BASSEIN,11,1.32353748014389,103.848108217465,5,2,1
MARNE ROAD,THE CITRON RESIDENCES,8,1.31270314378783,103.857112506162,3,7,5
YISHUN CENTRAL 1,NORTH PARK RESIDENCES,27,1.42866319767121,103.835828704052,7,5,1
BUKIT BATOK STREET 41,LE QUEST,23,1.35641720019399,103.740927523447,3,4,0
DUNDEE ROAD,QUEENS PEAK,3,1.29474611826682,103.806830290183,2,1,1
BEACH ROAD,CITY GATE,7,1.30231590504573,103.862331661034,2,1,6
LORONG 28 GEYLANG,EDENZ SUITES,14,1.31286931612854,103.885753141885,5,5,5
RAMBUTAN ROAD,VENTURA VIEW,15,1.31346334251531,103.904858125607,3,0,1
KOVAN ROAD,THE BENTLY RESIDENCES@KOVAN,19,1.3584957813131,103.881233534928,3,2,1
WEST COAST ROAD,THE SORRENTO,5,1.29576313642746,103.766122279701,0,0,0
JALAN RAJAH,THE VERVE,12,1.32772188246207,103.848137304369,5,2,2
JOO CHIAT PLACE,EVERITT EDGE,15,1.31376062248786,103.901762873018,6,6,1
SIMEI STREET 3,MY MANHATTAN,18,1.34130342076985,103.953347730205,2,3,2
RANGOON ROAD,CITIGATE RESIDENCE,8,1.31660680940599,103.853325577811,7,2,2
DEVONSHIRE ROAD,ILLUMINAIRE ON DEVONSHIRE,9,1.29906764002132,103.836832037459,5,4,5
WHAMPOA EAST,EIGHT RIVERSUITES,12,1.3218204074661,103.864744134712,3,1,3
TOH TUCK ROAD,THE CREEK @ BUKIT,21,1.34004658950475,103.770121496506,3,1,1
MOULMEIN ROAD,MULBERRY TREE,11,1.31818439913906,103.846394220029,5,6,1
TRANSIT ROAD,ROOTS @ TRANSIT,26,1.40487805504685,103.818088178825,0,0,1
HILLVIEW TERRACE,NATURA@HILLVIEW,23,1.35300842405369,103.759134678556,3,0,0
JOO CHIAT PLACE,PARC BLEU,15,1.31417304336788,103.907608197555,3,0,2
JOO CHIAT TERRACE,EAST ELEGANCE,15,1.31492827462524,103.905580887804,2,0,1
LORONG K TELOK KURAU,LA VIDA @ 130,15,1.31353809863098,103.914944391669,7,0,2
YISHUN RING ROAD,THE WISTERIA,27,1.41844703579357,103.841112412447,3,3,1
DUCHESS ROAD,ONE DUCHESS,10,1.32483349335708,103.808382077332,13,2,4
MOUNTBATTEN ROAD,MOUNTBATTEN SUITES,15,1.30326089932611,103.89995137284,6,1,2
EAST COAST ROAD,THE RED HOUSE,15,1.30539241248217,103.903484200601,8,4,2
JALAN PELIKAT,PRIMO RESIDENCES,19,1.35444579321957,103.886808610196,7,3,1
FORT ROAD,FULCRUM,15,1.29868831359876,103.884853403453,3,0,2
MOUNT VERNON ROAD,BARTLEY RIDGE,13,1.34068943096191,103.880558721941,5,0,1
RACE COURSE ROAD,SOHO @ FARRER,8,1.31076356002808,103.852952752941,4,4,5
STIRLING ROAD,STIRLING RESIDENCES,3,1.29677202648703,103.800712927589,2,0,2
LORONG LIMAU,CRADELS,12,1.32467146475006,103.853910277516,2,1,0
ROBIN ROAD,ROBIN SUITES,10,1.31769172514138,103.828769486315,8,1,2
MACPHERSON ROAD,SKY GREEN,13,1.33259772264628,103.886654330662,0,3,4
SERANGOON ROAD,MIDTOWN RESIDENCES,19,1.37073588285709,103.895120805047,9,2,1
LORONG 27 GEYLANG,METRO LOFT,14,1.31417031455963,103.883562175927,5,3,3
COMMONWEALTH AVENUE,COMMONWEALTH TOWERS,3,1.29573433474414,103.806030198974,2,1,1
TAMPINES STREET 86,THE TAPESTRY,18,1.35324276344947,103.928821304519,1,2,0
JALAN MUTIARA,M5,10,1.2956665859268,103.82885975081,2,4,5
EDGEDALE PLAINS,RIVER ISLES,19,1.39754493978614,103.912949838487,5,4,0
MAKEWAY AVENUE,NEWTON EDGE,9,1.31285376960405,103.84210742583,8,2,4
TAMPINES STREET 86,THE ALPS RESIDENCES,18,1.35505582637096,103.929921925596,1,2,0
SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,2,1.27603511606189,103.837502046362,1,0,6
SHENTON WAY,V ON SHENTON,1,1.27708340707631,103.849181343548,0,4,11
COMPASSVALE ROAD,THE LUXURIE,19,1.38845251403045,103.896379886373,7,3,2
RIVER VALLEY ROAD,STELLAR RV,10,1.29510458679803,103.828511352677,2,4,4
KIM KEAT CLOSE,BLISS LOFT,12,1.32322945510697,103.852929261304,2,1,0
PHENG GECK AVENUE,NIN RESIDENCE,13,1.33279345626326,103.869796804823,6,4,2
SIMS AVENUE,SMART SUITES,14,1.31514448371947,103.884050282732,5,3,3
IPOH LANE,IMPERIAL HEIGHTS,15,1.31145537479688,103.895169649984,11,1,3
UPPER EAST COAST ROAD,UBER 388,16,1.31365569116404,103.939090715487,2,0,1
IPOH LANE,BELLA CASITA,15,1.31184221477958,103.894784770422,11,1,3
JALAN PELIKAT,THE PROMENADE@PELIKAT,19,1.35530904178242,103.887857183262,7,3,1
BRADDELL ROAD,THE SCENIC @ BRADDELL,13,1.34345361531638,103.868857707623,5,0,3
LORONG H TELOK KURAU,SHIRO,15,1.31541313542995,103.907986439428,2,0,2
PULASAN ROAD,ONE @ PULASAN,15,1.31242960215498,103.906088719109,3,0,1
RANGOON ROAD,SUITES 123,8,1.31514994452974,103.853478164047,7,4,1
JALAN TANI,ISUITES @ TANI,19,1.36584849907494,103.884856327883,2,0,1
RANGOON ROAD,R66 APARTMENTS,8,1.31404520941052,103.854387162231,3,6,5
BEDOK RISE,THE GLADES,16,1.32713313560276,103.948931009877,1,1,1
CANBERRA DRIVE,EIGHT COURTYARDS,27,1.43795645154437,103.830995368522,5,0,1
SERANGOON NORTH VIEW,THE GARDEN RESIDENCES,19,1.36620695987025,103.870405307735,3,1,0
IPOH LANE,38 I SUITES,15,1.31169308156397,103.896306665361,11,5,3
LORONG LIMAU,PARC HAVEN,12,1.32436836124439,103.854219451062,2,1,1
JALAN DUSUN,ONE DUSUN RESIDENCES,12,1.32696539864482,103.84367423097,9,3,3
ALEXANDRA VIEW,ECHELON,3,1.29096399148778,103.817989855708,2,1,1
MAR THOMA ROAD,RIVIERA 38,12,1.32816337851711,103.863446045125,5,3,1
BALESTIER ROAD,CITY SUITES,12,1.3212914342901,103.852179456118,6,2,1
LORONG 32 GEYLANG,REZI 3TWO,14,1.31212753143258,103.886814275583,7,3,5
LORONG HOW SUN,BARTLEY RESIDENCES,19,1.34340886402757,103.881033504281,7,0,1
FLORA DRIVE,THE INFLORA,17,1.35632843123308,103.966578200418,1,0,0
MINBU ROAD,MEDGE,11,1.32337432256355,103.850380826925,6,0,1
LAKESIDE DRIVE,CASPIAN,22,1.34265740158581,103.718174762722,6,0,1
LENGKONG EMPAT,LEVENUE,14,1.32864269824431,103.913744097652,1,1,3
EAST COAST ROAD,AURALIS,15,1.31002552147163,103.916028590992,7,1,1
PASIR RIS GROVE,COCO PALMS,18,1.37150158736384,103.945323459304,3,2,1
JOO CHIAT LANE,JC RESIDENCE,15,1.31264875307626,103.900581034415,6,6,1
TAMPINES ROAD,TRILIVE,19,1.3617773209101,103.891667519955,3,1,1
COMPASSVALE BOW,JEWEL @ BUANGKOK,19,1.38125149368121,103.892365947007,8,2,1
JALAN SINGA,SINGA HILLS,14,1.33013262911561,103.908284993545,6,0,1
LORONG PUNTONG,THOMSON IMPRESSIONS,20,1.35982507427437,103.829708863142,1,0,2
PUNGGOL CENTRAL,PARC CENTROS,19,1.40346964588042,103.904495442363,5,5,1
LORONG 3 TOA PAYOH,TREVISTA,12,1.33742074109903,103.846538493576,21,2,4
TAMPINES STREET 86,THE SANTORINI,18,1.35166623960192,103.92816568817,0,1,0
OXLEY RISE,THE RISE @ OXLEY - RESIDENCES,9,1.29737860639544,103.843222328094,8,2,7
MOONSTONE LANE,M66,12,1.32873367272575,103.864762336397,4,3,1
MOUNT SOPHIA,SOPHIA HILLS,9,1.30069058142746,103.848129303731,3,3,11
HILLVIEW TERRACE,LAUREL TREE,23,1.35297897768631,103.758272812318,4,0,1
JELEBU ROAD,HILLION RESIDENCES,23,1.37861654539376,103.762615523169,5,3,2
CAVENAGH ROAD,HIJAUAN,9,1.30360072008439,103.841116863266,6,1,6
PETIR ROAD,FORESQUE RESIDENCES,23,1.36877358881314,103.776059657834,3,0,0
WEST COAST VALE,PARC RIVIERA,5,1.32081769238494,103.752667309254,4,0,0
ROBERTSON QUAY,UP@ROBERTSON QUAY,9,1.29078080113526,103.837445495482,2,0,4
KHIANG GUAN AVENUE,LINCOLN SUITES,11,1.31710864057354,103.842743087159,10,5,3
LORONG 34 GEYLANG,PRIMEDGE,14,1.31253129900962,103.888139939124,8,2,5
ADIS ROAD,PARC SOPHIA,9,1.30156333624985,103.847382274312,6,3,11
SANDILANDS ROAD,3@SANDILANDS,19,1.36159913009846,103.877967293114,2,0,1
LANGSAT ROAD,SPRING @ LANGSAT,15,1.31511560847861,103.900276347946,4,6,3
JALAN ANAK BUKIT,SUITES DE LAUREL,21,1.33917169739151,103.780127443358,1,2,2
LORONG N TELOK KURAU,THE LUCENT,15,1.31114499548611,103.916123058693,7,0,1
SENGKANG EAST AVENUE,RIVERSOUND RESIDENCE,19,1.381284454557,103.902877565841,4,2,0
SERANGOON AVENUE 3,THE SCALA,19,1.35031605592711,103.865369039913,5,0,3
MOONSTONE LANE,MOONSTONE ROYALE,12,1.32785789082303,103.866088622774,4,1,2
TAMPINES ROAD,THE TEMBUSU,19,1.36153094393341,103.889409749076,3,0,1
MOONSTONE LANE,MOONSTONE VIEW,12,1.3272741656029,103.865610465124,4,2,3
RACE COURSE LANE,CITY STUDIOS,8,1.31012233674354,103.852814779279,3,4,5
BALESTIER ROAD,VIIO @ BALESTIER,12,1.32697693485952,103.845903319079,9,3,2
UPPER SERANGOON ROAD,SPAZIO @ KOVAN,19,1.35469895424795,103.878329825749,6,1,3
LORONG H TELOK KURAU,H RESIDENCES,15,1.31570830110214,103.908882701488,3,0,2
ALEXANDRA VIEW,ALEX RESIDENCES,3,1.29056999681587,103.819000781728,2,1,1
JERVOIS ROAD,38 JERVOIS,10,1.29409446498063,103.822715554852,1,2,2
MARNE ROAD,STUDIOS @ MARNE,8,1.31291563993984,103.856924681278,4,7,5
ZION ROAD,ZENITH,10,1.29263680036305,103.830568078703,2,4,3
GATEWAY DRIVE,J GATEWAY,22,1.33555731797921,103.742416815373,3,5,1
UPPER SERANGOON VIEW,KINGSFORD WATERBAY,19,1.37447287448697,103.90307048623,3,1,0
ONAN ROAD,ONAN SUITES,15,1.3118271135396,103.900061145388,6,6,1
LORONG K TELOK KURAU,THE CRISTALLO,15,1.31266290803793,103.911509004252,8,0,2
IRRAWADDY ROAD,DOMUS,12,1.32571303801229,103.845508907095,11,3,2
DERBYSHIRE ROAD,6 DERBYSHIRE,11,1.31568172551155,103.845880417376,7,3,4
HANDY ROAD,NOMU,9,1.2998091733077,103.846962853661,6,3,12
MAR THOMA ROAD,VETRO,12,1.32751884756176,103.862564898481,5,3,2
PASIR RIS HEIGHTS,VUE 8 RESIDENCE,18,1.38193442744681,103.940839678846,4,2,0
NEWTON ROAD,26 NEWTON,11,1.3156928164724,103.841615456446,10,2,3
BEACH ROAD,THE PLAZA,7,1.29962022781589,103.860647264964,2,1,9
LORONG K TELOK KURAU,CUBIK,15,1.31343809193913,103.91201252096,7,0,2
NEW BRIDGE ROAD,DORSETT RESIDENCES,2,1.28004529331829,103.840358673254,1,2,9
HERTFORD ROAD,THE URBANITE,8,1.31351026234071,103.848372065079,7,1,4
ST. MICHAEL'S ROAD,CITY REGENCY,12,1.32638091456349,103.86384065497,5,3,2
FLORA DRIVE,HEDGES PARK CONDOMINIUM,17,1.35521095284251,103.966422045067,1,0,0
PASIR RIS LINK,RIPPLE BAY,18,1.37727987843588,103.960995134049,3,0,0
LENGKONG TUJOH,VACANZA @ EAST,14,1.32901984483655,103.914196223923,1,2,3
